　,PU,*,*,　
笑呵呵,AD,*,*,笑呵呵
效奇,NR,PER,GIV,效奇
效时,NR,PER,GIV,效时
蟹黄,NN,*,*,蟹黄
谢·泰—史密斯,NR,PER,FOR,谢·泰—史密斯
谢尔盖·萨维利耶夫,NR,PER,FOR,谢尔盖·萨维利耶夫
谢菲尔德,NR,LOC,*,谢菲尔德
谢卡尔,NR,PER,FOR,谢卡尔
谢里夫·阿布,NR,PER,FOR,谢里夫·阿布
谢里夫时,NR,PER,FOR,谢里夫时
谢罪,VV,*,*,谢罪
薪柴,NN,*,*,薪柴
欣欣,NR,PER,GIV,欣欣
辛格,NR,PER,FOR,辛格
辛普森,NR,PER,FOR,辛普森
辛未,NT,NOR,*,辛未
新,NR,PER,GIV,新
新安县,NR,LOC,*,新安县
新赫,NR,PER,GIV,新赫
新徽,NR,PER,GIV,新徽
新军,NR,PER,GIV,新军
新生,NR,PER,GIV,新生
新元,NR,PER,GIV,新元
忻州市,NR,LOC,*,忻州市
心强,NR,PER,GIV,心强
信,NR,PER,GIV,信
信余,NR,PER,GIV,信余
信真,NR,PER,GIV,信真
星儿,NR,PER,GIV,星儿
星红,NR,PER,GIV,星红
星军,NR,PER,GIV,星军
星稀,VA,*,*,星稀
星泽,NR,PER,GIV,星泽
兴安岭,NR,LOC,*,兴安岭
兴初,NR,PER,GIV,兴初
兴德,NR,PER,GIV,兴德
兴富,NR,PER,GIV,兴富
兴国,NR,PER,GIV,兴国
兴浩,NR,PER,GIV,兴浩
兴权,NR,PER,GIV,兴权
兴胜,NR,PER,GIV,兴胜
兴县,NR,LOC,*,兴县
兴义,NR,PER,GIV,兴义
兴禹,NR,PER,GIV,兴禹
邢台,NR,LOC,*,邢台
行生,NR,PER,GIV,行生
杏月,NR,PER,GIV,杏月
性华,NR,PER,GIV,性华
匈费耶尔州,NR,LOC,*,匈费耶尔州
雄才,NR,PER,GIV,雄才
雄纠纠,AD,*,*,雄纠纠
熊耳山,NR,LOC,*,熊耳山
休斯顿,NR,LOC,*,休斯顿
修平,NR,PER,GIV,修平
修权,NR,PER,GIV,修权
修生,NR,PER,GIV,修生
修哲,NR,PER,GIV,修哲
秀,NR,PER,GIV,秀
秀昌,NR,PER,GIV,秀昌
秀昆,NR,PER,GIV,秀昆
秀丽,NR,PER,GIV,秀丽
秀琳,NR,PER,GIV,秀琳
秀荣,NR,PER,GIV,秀荣
秀武,NR,PER,GIV,秀武
秀雄,NR,PER,GIV,秀雄
秀珠,NR,PER,GIV,秀珠
秀岚,NR,PER,GIV,秀岚
秀馥,NR,PER,GIV,秀馥
徐春,NR,PER,GIV,徐春
徐汇,NR,LOC,*,徐汇
徐汇区,NR,LOC,*,徐汇区
许斯尼·多甘,NR,PER,FOR,许斯尼·多甘
许町乡,NR,LOC,*,许町乡
叙,NR,PER,GIV,叙
叙生,NR,PER,GIV,叙生
旭初,NR,PER,GIV,旭初
旭之,NR,PER,GIV,旭之
绪鄂,NR,PER,GIV,绪鄂
绪民,NR,PER,GIV,绪民
轩轩,NR,PER,GIV,轩轩
宣,NR,PER,GIV,宣
宣化区,NR,LOC,*,宣化区
宣家塔乡,NR,LOC,*,宣家塔乡
宣讲,VV,*,*,宣讲
宣纸,NN,*,*,宣纸
玄秘,JJ,*,*,玄秘
选达,NR,PER,GIV,选达
学斌,NR,PER,GIV,学斌
学成,NR,PER,GIV,学成
学范,NR,PER,GIV,学范
学富,NR,PER,GIV,学富
学果,NR,PER,GIV,学果
学华,NR,PER,GIV,学华
学雷,NR,PER,GIV,学雷
学敏,NR,PER,GIV,学敏
学谦,NR,PER,GIV,学谦
学全,NR,PER,GIV,学全
学儒,NR,PER,GIV,学儒
学森,NR,PER,GIV,学森
学为,NR,PER,GIV,学为
学文,NR,PER,GIV,学文
学贤,NR,PER,GIV,学贤
学艳,NR,PER,GIV,学艳
学智,NR,PER,GIV,学智
学琛,NR,PER,GIV,学琛
学煜,NR,PER,GIV,学煜
雪辰,NR,PER,GIV,雪辰
雪枫,NR,PER,GIV,雪枫
雪健,NR,PER,GIV,雪健
雪康·土登尼玛,NR,PER,FOR,雪康·土登尼玛
雪亮,NR,PER,GIV,雪亮
雪龙滩,NR,LOC,*,雪龙滩
雪萍,NR,PER,GIV,雪萍
雪橇,NN,*,*,雪橇
雪琼,NR,PER,GIV,雪琼
雪石,NR,PER,GIV,雪石
雪炜,NR,PER,GIV,雪炜
血脂,NN,*,*,血脂
循刚,NR,PER,GIV,循刚
循敏,NR,PER,GIV,循敏
训舟,NR,PER,GIV,训舟
迅,NR,PER,GIV,迅
雅各布·汗,NR,PER,FOR,雅各布·汗
雅克·朗,NR,PER,FOR,雅克·朗
雅克·朗萨德,NR,PER,FOR,雅克·朗萨德
雅克·普斯,NR,PER,FOR,雅克·普斯
雅克·桑特,NR,PER,FOR,雅克·桑特
雅妮,NR,PER,GIV,雅妮
雅斯洛夫斯凯一博胡尼采,NR,LOC,*,雅斯洛夫斯凯一博胡尼采
雅斯洛夫斯凯一博胡尼采核电站,NR,LOC,*,雅斯洛夫斯凯一博胡尼采核电站
雅西县,NR,LOC,*,雅西县
亚·伯尔拉德亚努,NR,PER,FOR,亚·伯尔拉德亚努
亚布力,NR,LOC,*,亚布力
亚当·坦斯基,NR,PER,FOR,亚当·坦斯基
亚光,NR,PER,GIV,亚光
亚军,NR,PER,GIV,亚军
亚科武,NR,PER,FOR,亚科武
亚拉巴马州,NR,LOC,*,亚拉巴马州
亚历克斯·哈利,NR,PER,FOR,亚历克斯·哈利
亚历山大·别斯梅尔特内赫,NR,PER,FOR,亚历山大·别斯梅尔特内赫
亚纳耶夫,NR,PER,FOR,亚纳耶夫
亚莎,NR,PER,GIV,亚莎
亚原,NR,PER,GIV,亚原
严,NR,PER,GIV,严
严于律己,VV,*,*,严于律己
延·霍尔斯特·克里斯滕森,NR,PER,FOR,延·霍尔斯特·克里斯滕森
延·克里斯滕森,NR,PER,FOR,延·克里斯滕森
延滨,NR,PER,GIV,延滨
延福,NR,PER,GIV,延福
延富,NR,PER,GIV,延富
延亨默,NR,PER,FOR,延亨默
延军,NR,PER,GIV,延军
延来,NR,PER,GIV,延来
延年,NR,PER,GIV,延年
延荣,NR,PER,GIV,延荣
延熙,NR,PER,GIV,延熙
言鸣,NR,PER,GIV,言鸣
言义,NR,PER,GIV,言义
阎家村,NR,LOC,*,阎家村
炎林,NR,PER,GIV,炎林
炎书,NR,PER,GIV,炎书
炎午,NR,PER,GIV,炎午
眼亮,NR,PER,GIV,眼亮
衍,NR,PER,GIV,衍
衍祠,NR,PER,GIV,衍祠
艳芳,NR,PER,GIV,艳芳
燕芬,NR,PER,GIV,燕芬
燕郊镇,NR,LOC,*,燕郊镇
燕乐,NR,PER,GIV,燕乐
燕鸣,NR,PER,GIV,燕鸣
燕喜堂,NR,ORG,*,燕喜堂
燕下都,NN,*,*,燕下都
燕祥,NR,PER,GIV,燕祥
燕行,NR,PER,GIV,燕行
雁,NR,PER,GIV,雁
彦,NR,PER,GIV,彦
彦华,NR,PER,GIV,彦华
彦田,NR,PER,GIV,彦田
彦威,NR,PER,GIV,彦威
彦宇,NR,PER,GIV,彦宇
彦忠,NR,PER,GIV,彦忠
杨·伊利埃斯库,NR,PER,FOR,杨·伊利埃斯库
杨村,NR,LOC,*,杨村
杨二庄村,NR,LOC,*,杨二庄村
杨家峪,NR,LOC,*,杨家峪
杨浦区,NR,LOC,*,杨浦区
杨树,NN,*,*,杨树
扬·德里,NR,PER,FOR,扬·德里
扬·蒂曼,NR,PER,FOR,扬·蒂曼
扬·亨克,NR,PER,FOR,扬·亨克
扬·克日什托夫·别莱茨基,NR,PER,FOR,扬·克日什托夫·别莱茨基
扬·伊利埃斯库,NR,PER,FOR,扬·伊利埃斯库
扬灰,NN,*,*,扬灰
扬名,VA,*,*,扬名
扬子,NR,LOC,*,扬子
羊羔,NN,*,*,羊羔
阳谷县,NR,LOC,*,阳谷县
阳萎,NN,*,*,阳萎
阳信县,NR,LOC,*,阳信县
养蚕,VV,*,*,养蚕
要比,VV,*,*,要比
要购,VV,*,*,要购
耀波,NR,PER,GIV,耀波
耀国,NR,PER,GIV,耀国
耀华皮尔金顿,NR,ORG,*,耀华皮尔金顿
耀林,NR,PER,GIV,耀林
耀中,NR,PER,GIV,耀中
椰雕,NN,*,*,椰雕
耶·沃尔科瓦,NR,PER,FOR,耶·沃尔科瓦
耶·希莱扎克,NR,PER,FOR,耶·希莱扎克
耶尔格·霍夫曼,NR,PER,FOR,耶尔格·霍夫曼
耶洛奈尔,NR,LOC,*,耶洛奈尔
也刚,NR,PER,GIV,也刚
页都,NR,PER,GIV,页都
业倩,NR,PER,GIV,业倩
叶·沃尔科娃,NR,PER,FOR,叶·沃尔科娃
叶尔马拉维丘斯,NR,PER,FOR,叶尔马拉维丘斯
叶海雅,NR,LOC,*,叶海雅
叶轮泵,NN,*,*,叶轮泵
叶片,NN,*,*,叶片
液,NN,*,*,液
一鸣,NR,PER,GIV,一鸣
依林,NR,PER,GIV,依林
伊·阿赫梅蒂,NR,PER,FOR,伊·阿赫梅蒂
伊·拉什科,NR,PER,FOR,伊·拉什科
伊·拉什科列,NR,PER,FOR,伊·拉什科列
伊尔福夫县奥尔泰尼察市,NR,LOC,*,伊尔福夫县奥尔泰尼察市
伊凡·肯尼迪,NR,PER,FOR,伊凡·肯尼迪
伊凡诺夫,NR,PER,FOR,伊凡诺夫
伊格尔伯格,NR,PER,FOR,伊格尔伯格
伊格纳茨·基希勒,NR,PER,FOR,伊格纳茨·基希勒
伊杰伊莱尔,NR,PER,FOR,伊杰伊莱尔
伊金霍洛旗,NR,LOC,*,伊金霍洛旗
伊克昭盟,NR,LOC,*,伊克昭盟
伊拉姆,NR,ORG,*,伊拉姆
伊拉什科,NR,PER,FOR,伊拉什科
伊利亚·穆罗梅茨,NR,PER,FOR,伊利亚·穆罗梅茨
伊利亚廖伊诺夫,NR,PER,FOR,伊利亚廖伊诺夫
伊玛姆霍梅尼港,NR,LOC,*,伊玛姆霍梅尼港
伊马姆阿兰,NR,PER,FOR,伊马姆阿兰
伊沙克·汗,NR,PER,FOR,伊沙克·汗
伊什佩科夫,NR,PER,FOR,伊什佩科夫
伊斯托克,NR,OTH,*,伊斯托克
伊万·赫兰奥斯特,NR,PER,FOR,伊万·赫兰奥斯特
伊万斯,NR,PER,FOR,伊万斯
伊辛·切列比,NR,PER,FOR,伊辛·切列比
伊亚德,NR,PER,FOR,伊亚德
伊亚德·法蒂赫·拉维,NR,PER,FOR,伊亚德·法蒂赫·拉维
伊扎特·易卜拉欣,NR,PER,FOR,伊扎特·易卜拉欣
伊智郎,NR,PER,GIV,伊智郎
衣裙,NN,*,*,衣裙
疑窦颇多,VV,*,*,疑窦颇多
宜弘,NR,PER,GIV,宜弘
宜君,NR,PER,GIV,宜君
宜庆,NR,PER,GIV,宜庆
以和,NR,PER,GIV,以和
以升,NR,PER,GIV,以升
以新,NR,PER,GIV,以新
以信,NR,PER,GIV,以信
艺佳,NR,PER,GIV,艺佳
易卜拉欣·艾哈默德·奥马尔,NR,PER,FOR,易卜拉欣·艾哈默德·奥马尔
易学,JJ,*,*,易学
亿军,NR,PER,GIV,亿军
逸夫,NR,PER,GIV,逸夫
逸民,NR,PER,GIV,逸民
逸洲,NR,PER,GIV,逸洲
亦斌,NR,PER,GIV,亦斌
亦珍,NR,PER,GIV,亦珍
毅诚,NR,PER,GIV,毅诚
毅宏,NR,PER,GIV,毅宏
毅杰,NR,PER,GIV,毅杰
义川,NR,PER,GIV,义川
义夫,NR,PER,GIV,义夫
义男,NR,PER,GIV,义男
义气,NN,*,*,义气
义文,NR,PER,GIV,义文
义祥,NR,PER,GIV,义祥
益肾春,NN,*,*,益肾春
谊林,NR,PER,GIV,谊林
因契尔利,NR,LOC,*,因契尔利
因契尔利克,NR,LOC,*,因契尔利克
吟龙,NR,PER,GIV,吟龙
银福,NR,PER,GIV,银福
银曙,NR,PER,GIV,银曙
淫秽,VA,*,*,淫秽
寅初,NR,PER,GIV,寅初
印地安那波利斯,NR,LOC,*,印地安那波利斯
印芳,NR,PER,GIV,印芳
印咸,NR,PER,GIV,印咸
英·甘地金,NR,OTH,*,英·甘地金
英德县,NR,LOC,*,英德县
英贵,NR,PER,GIV,英贵
英吉尔利克,NR,LOC,*,英吉尔利克
英杰,NN,*,*,英杰
英兰,NR,PER,GIV,英兰
英隆,NR,PER,GIV,英隆
英契尔利,NR,LOC,*,英契尔利
英淑,NR,PER,GIV,英淑
英淘,NR,PER,GIV,英淘
英子,NR,PER,GIV,英子
应发,NR,PER,GIV,应发
应辅,NR,PER,GIV,应辅
应龙,NR,PER,GIV,应龙
应鹿,NR,PER,GIV,应鹿
应明,NR,PER,GIV,应明
应祥,NR,PER,GIV,应祥
盈亭,NR,PER,GIV,盈亭
影,NN,*,*,影
影,NR,PER,GIV,影
颖超,NR,PER,GIV,颖超
拥军,NR,PER,GIV,拥军
雍和宫,NR,LOC,*,雍和宫
咏虹,NR,PER,GIV,咏虹
永·埃德温,NR,PER,FOR,永·埃德温
永斌,NR,PER,GIV,永斌
永昌,NR,PER,GIV,永昌
永成,NR,PER,GIV,永成
永承,NR,PER,GIV,永承
永二,NR,PER,GIV,永二
永富,NR,PER,GIV,永富
永刚,NR,PER,GIV,永刚
永固,NR,PER,GIV,永固
永和,NR,PER,GIV,永和
永恒,NR,PER,GIV,永恒
永健,NR,PER,GIV,永健
永金,NR,PER,GIV,永金
永良,NR,PER,GIV,永良
永林,NR,PER,GIV,永林
永强,NR,PER,GIV,永强
永盛,NR,PER,GIV,永盛
永堂,NR,PER,GIV,永堂
永武,NR,PER,GIV,永武
永兴,NR,PER,GIV,永兴
永治,NR,PER,GIV,永治
勇军,NR,PER,GIV,勇军
勇民,NR,PER,GIV,勇民
用三,NR,PER,GIV,用三
优种,NN,*,*,优种
悠长,VA,*,*,悠长
尤里·戈利克,NR,PER,FOR,尤里·戈利克
尤里卡,NR,OTH,*,尤里卡
尤尼克斯,NR,OTH,*,尤尼克斯
尤斯廷·帕帕约尔吉,NR,PER,FOR,尤斯廷·帕帕约尔吉
尤素夫·拉吉布,NR,PER,FOR,尤素夫·拉吉布
尤溪县,NR,LOC,*,尤溪县
有成,NR,PER,GIV,有成
有智,NR,PER,GIV,有智
有泮,NR,PER,GIV,有泮
有祺,NR,PER,GIV,有祺
友凤,NR,PER,GIV,友凤
友恭,NR,PER,GIV,友恭
友今,NR,PER,GIV,友今
友兰,NR,PER,GIV,友兰
友利,NR,ORG,*,友利
友渔,NR,PER,GIV,友渔
右雁,NR,PER,GIV,右雁
幼棣,NR,PER,GIV,幼棣
于,NR,PER,GIV,于
渔,NN,*,*,渔
渔猎,VA,*,*,渔猎
雨辰,NR,PER,GIV,雨辰
雨桂,NR,PER,GIV,雨桂
宇平,NR,PER,GIV,宇平
羽西,NR,PER,GIV,羽西
玉斌,NR,PER,GIV,玉斌
玉才,NR,PER,GIV,玉才
玉达,NR,PER,GIV,玉达
玉东,NR,PER,GIV,玉东
玉栋,NR,PER,GIV,玉栋
玉和,NR,PER,GIV,玉和
玉槐,NR,PER,GIV,玉槐
玉洁,NR,PER,GIV,玉洁
玉锦,NR,PER,GIV,玉锦
玉兰,NR,PER,GIV,玉兰
玉礼,NR,PER,GIV,玉礼
玉琳,NR,PER,GIV,玉琳
玉林,NR,PER,GIV,玉林
玉满,NR,PER,GIV,玉满
玉民,NR,PER,GIV,玉民
玉萍,NR,PER,GIV,玉萍
玉平,NR,PER,GIV,玉平
玉奇,NR,PER,GIV,玉奇
玉琴,NR,PER,GIV,玉琴
玉庆,NR,PER,GIV,玉庆
玉泉,NR,PER,GIV,玉泉
玉堂,NR,PER,GIV,玉堂
玉文,NR,PER,GIV,玉文
玉孝,NR,PER,GIV,玉孝
玉学,NR,PER,GIV,玉学
玉勋,NR,PER,GIV,玉勋
玉英,NR,PER,GIV,玉英
玉增,NR,PER,GIV,玉增
玉倩,NR,PER,GIV,玉倩
玉璋,NR,PER,GIV,玉璋
玉璞,NR,PER,GIV,玉璞
郁孤台,NR,LOC,*,郁孤台
郁昭,NR,PER,GIV,郁昭
遇航,NR,PER,GIV,遇航
育新,NR,PER,GIV,育新
裕介,NR,PER,GIV,裕介
裕禄,NR,PER,GIV,裕禄
裕民,NR,PER,GIV,裕民
裕史,NR,PER,FOR,裕史
裕子,NR,PER,GIV,裕子
裕淇,NR,PER,GIV,裕淇
豫浙,NR,PER,GIV,豫浙
渊,NR,PER,GIV,渊
元国,NR,PER,GIV,元国
元杰,NR,PER,GIV,元杰
元熙,NR,PER,GIV,元熙
元岳,NR,PER,GIV,元岳
原,NR,PER,GIV,原
园晨,NR,PER,GIV,园晨
源,NR,PER,GIV,源
远达,NR,PER,GIV,远达
远颖,NR,PER,GIV,远颖
曰涛,NR,PER,GIV,曰涛
曰庄,NR,PER,GIV,曰庄
约安尼斯·瓦尔维乔蒂斯,NR,PER,FOR,约安尼斯·瓦尔维乔蒂斯
约翰·阿莱亚,NR,PER,FOR,约翰·阿莱亚
约翰·博伊德,NR,PER,FOR,约翰·博伊德
约翰·格默,NR,PER,FOR,约翰·格默
约翰·凯利,NR,PER,FOR,约翰·凯利
约翰·克拉格,NR,PER,FOR,约翰·克拉格
约翰·麦肯罗,NR,PER,FOR,约翰·麦肯罗
约翰·梅杰,NR,PER,FOR,约翰·梅杰
约翰·威尔逊,NR,PER,FOR,约翰·威尔逊
约翰·辛普森,NR,PER,FOR,约翰·辛普森
约翰·耶根·霍尔斯特,NR,PER,FOR,约翰·耶根·霍尔斯特
约翰·朱利安·怀尔德,NR,PER,FOR,约翰·朱利安·怀尔德
约翰逊·姆兰博,NR,PER,FOR,约翰逊·姆兰博
约科·苏普里扬托,NR,PER,FOR,约科·苏普里扬托
约瑟夫·威尔逊,NR,PER,FOR,约瑟夫·威尔逊
约韦里·穆塞韦尼,NR,PER,FOR,约韦里·穆塞韦尼
约维奇,NR,PER,FOR,约维奇
越,NR,PER,GIV,越
越崎,NR,PER,GIV,越崎
跃,NR,PER,GIV,跃
跃华,NR,PER,GIV,跃华
跃进,NR,PER,GIV,跃进
岳林,NR,PER,GIV,岳林
岳麓山,NR,LOC,*,岳麓山
岳母,NN,*,*,岳母
月希,NR,PER,GIV,月希
悦宁,NR,PER,GIV,悦宁
云程,NR,PER,GIV,云程
云川,NR,PER,GIV,云川
云达,NR,PER,GIV,云达
云亮,NR,PER,GIV,云亮
云岭,NR,LOC,*,云岭
云龙,NR,PER,GIV,云龙
云散,NR,PER,GIV,云散
云生,NR,PER,GIV,云生
云天化,NR,ORG,*,云天化
云彤,NR,PER,GIV,云彤
云香,NR,PER,GIV,云香
云逸,NR,PER,GIV,云逸
云友,NR,PER,GIV,云友
云跃,NR,PER,GIV,云跃
云珍,NR,PER,GIV,云珍
云子,NR,PER,GIV,云子
允乾,NR,PER,GIV,允乾
运亨,NR,PER,GIV,运亨
运花,NR,PER,GIV,运花
运货,VV,*,*,运货
韵,NN,*,*,韵
韵兰,NR,PER,GIV,韵兰
宰赫兰,NR,LOC,*,宰赫兰
宰赫兰市,NR,LOC,*,宰赫兰市
载荣,NR,PER,GIV,载荣
在凤,NR,PER,GIV,在凤
在忠,NR,PER,GIV,在忠
藻,NN,*,*,藻
择红,NR,PER,GIV,择红
则文,NR,PER,GIV,则文
则孜,NR,PER,GIV,则孜
泽,NR,PER,GIV,泽
泽峰,NR,PER,GIV,泽峰
泽辉,NR,PER,GIV,泽辉
泽俊,NR,PER,GIV,泽俊
泽兰,NR,PER,GIV,泽兰
泽澎,NR,PER,GIV,泽澎
增膘,VV,*,*,增膘
增海,NR,PER,GIV,增海
增杰,NR,PER,GIV,增杰
增木,NR,PER,GIV,增木
曾佩,NR,PER,GIV,曾佩
扎,VV,*,*,扎
扎布耶石,NR,PER,FOR,扎布耶石
扎布耶盐湖,NR,LOC,*,扎布耶盐湖
扎尔曼·肖瓦尔,NR,PER,FOR,扎尔曼·肖瓦尔
扎库利,NR,PER,FOR,扎库利
扎仑,NR,LOC,*,扎仑
扎什伦布寺,NR,LOC,*,扎什伦布寺
扎耶德,NR,PER,FOR,扎耶德
扎伊尔,NR,LOC,*,扎伊尔
轧,VV,*,*,轧
乍伦西尔,NR,PER,FOR,乍伦西尔
詹姆斯·博尔格,NR,PER,FOR,詹姆斯·博尔格
詹姆斯·梅雷迪思,NR,PER,FOR,詹姆斯·梅雷迪思
詹姆斯·沃特金斯,NR,PER,FOR,詹姆斯·沃特金斯
詹尼·德米凯利斯,NR,PER,FOR,詹尼·德米凯利斯
粘稠,VA,*,*,粘稠
粘合,VV,*,*,粘合
粘接,VV,*,*,粘接
粘结,VV,*,*,粘结
展堂,NR,PER,GIV,展堂
展中,NR,PER,GIV,展中
占春,NR,PER,GIV,占春
占锋,NR,PER,GIV,占锋
占祥,NR,PER,GIV,占祥
战国,NR,PER,GIV,战国
湛,NR,PER,GIV,湛
章良,NR,PER,GIV,章良
张榜,VV,*,*,张榜
张店,NR,LOC,*,张店
张集,NR,LOC,*,张集
张口,VV,*,*,张口
张口即来,VV,*,*,张口即来
张西河村,NR,LOC,*,张西河村
张掖,NR,LOC,*,张掖
招喜,NR,PER,GIV,招喜
昭一,NR,PER,GIV,昭一
照华,NR,PER,GIV,照华
照明,NR,PER,GIV,照明
照荣,NR,PER,GIV,照荣
兆安,NR,PER,GIV,兆安
兆波,NR,PER,GIV,兆波
兆明,NR,PER,GIV,兆明
兆奇,NR,PER,GIV,兆奇
兆同,NR,PER,GIV,兆同
兆晓,NR,PER,GIV,兆晓
兆岐,NR,PER,GIV,兆岐
肇毅,NR,PER,GIV,肇毅
肇珩,NR,PER,GIV,肇珩
遮露,VV,*,*,遮露
哲男,NR,PER,GIV,哲男
哲人,NR,PER,GIV,哲人
珍·埃文斯,NR,PER,FOR,珍·埃文斯
珍·瓦格斯塔夫,NR,PER,FOR,珍·瓦格斯塔夫
珍本,NN,*,*,珍本
珍华,NR,PER,GIV,珍华
真,NR,PER,GIV,真
针,NN,*,*,针
震东,NR,PER,GIV,震东
振德,NR,PER,GIV,振德
振岗,NR,PER,GIV,振岗
振海,NR,PER,GIV,振海
振龙,NR,PER,GIV,振龙
振聋发聩,VV,*,*,振聋发聩
振殊,NR,PER,GIV,振殊
振望,NR,PER,GIV,振望
振喜,NR,PER,GIV,振喜
振业,NR,PER,GIV,振业
振英,NR,PER,GIV,振英
振葆,NR,PER,GIV,振葆
振璞,NR,PER,FOR,振璞
镇中,NR,PER,GIV,镇中
征康,NR,PER,GIV,征康
拯民,NR,PER,GIV,拯民
正操,NR,PER,GIV,正操
正恩,NR,PER,GIV,正恩
正根,NR,PER,GIV,正根
正洪,NR,PER,GIV,正洪
正宏,NR,PER,GIV,正宏
正杰,NR,PER,GIV,正杰
正廉,NR,PER,GIV,正廉
正文,NR,PER,GIV,正文
正祥,NR,PER,GIV,正祥
正元,NR,PER,GIV,正元
正中,NR,PER,GIV,正中
正忠,NR,PER,GIV,正忠
正鹄,NR,PER,GIV,正鹄
政,NR,PER,GIV,政
政艾,NR,PER,GIV,政艾
政厚,NR,PER,GIV,政厚
政建,NR,PER,GIV,政建
政军,NR,PER,GIV,政军
政研,NR,PER,GIV,政研
郑石湾,NR,LOC,*,郑石湾
枝繁叶茂,VV,*,*,枝繁叶茂
知强,NR,PER,GIV,知强
知生,NR,PER,GIV,知生
之浚,NR,PER,GIV,之浚
之云,NR,PER,GIV,之云
植,NR,PER,GIV,植
植霖,NR,PER,GIV,植霖
植龄,NR,PER,GIV,植龄
指正,NR,PER,GIV,指正
志,NR,PER,GIV,志
志安,NR,PER,GIV,志安
志宝,NR,PER,GIV,志宝
志斌,NR,PER,GIV,志斌
志超,NR,PER,GIV,志超
志方,NR,PER,GIV,志方
志福,NR,PER,GIV,志福
志高,NR,PER,GIV,志高
志浩,NR,PER,GIV,志浩
志杰,NR,PER,GIV,志杰
志坤,NR,PER,GIV,志坤
志彭,NR,PER,GIV,志彭
志权,NR,PER,GIV,志权
志孝,NR,PER,GIV,志孝
志尧,NR,PER,GIV,志尧
志毅,NR,PER,GIV,志毅
志义,NR,PER,GIV,志义
志寰,NR,PER,GIV,志寰
致焕,NR,PER,GIV,致焕
致新,NR,PER,GIV,致新
智强,NR,PER,GIV,智强
智星,NR,PER,GIV,智星
秩,NR,PER,GIV,秩
治郎,NR,PER,GIV,治郎
治民,NR,PER,GIV,治民
治野,NR,PER,GIV,治野
中,NR,PER,GIV,中
中杰,NR,PER,GIV,中杰
中南,LC,*,*,中南
中宁,NR,PER,GIV,中宁
中义,NR,PER,GIV,中义
中英,NR,PER,GIV,中英
中庄村,NR,LOC,*,中庄村
忠臣,NR,PER,GIV,忠臣
忠德,NR,PER,GIV,忠德
忠民,NR,PER,GIV,忠民
忠奇,NR,PER,GIV,忠奇
忠强,NR,PER,GIV,忠强
忠生,NR,PER,GIV,忠生
忠贤,NR,PER,GIV,忠贤
忠植,NR,PER,GIV,忠植
忠中,NR,PER,GIV,忠中
忠钰,NR,PER,GIV,忠钰
钟九,NR,PER,GIV,钟九
钟乳,NN,*,*,钟乳
衷洁,NR,PER,GIV,衷洁
重华,NR,PER,GIV,重华
重梁,NR,PER,GIV,重梁
仲滨,NR,PER,GIV,仲滨
仲德,NR,PER,GIV,仲德
仲文,NR,PER,GIV,仲文
仲学,NR,PER,GIV,仲学
仲勋,NR,PER,GIV,仲勋
仲颐,NR,PER,GIV,仲颐
仲予,NR,PER,GIV,仲予
仲藜,NR,PER,GIV,仲藜
仲炜,NR,PER,GIV,仲炜
周折,NN,*,*,周折
朱尔·韦登博什,NR,PER,FOR,朱尔·韦登博什
朱家桥,NR,LOC,*,朱家桥
朱日和,NR,LOC,*,朱日和
诸侯,NN,*,*,诸侯
竹康,NR,PER,GIV,竹康
竹润,NR,PER,GIV,竹润
柱础,NN,*,*,柱础
柱奉,NR,PER,GIV,柱奉
铸,NR,PER,GIV,铸
筑胜,NR,PER,GIV,筑胜
祝酒,VV,*,*,祝酒
祝庆,NR,PER,GIV,祝庆
庄,NR,PER,GIV,庄
庄户,NN,*,*,庄户
锥体,NN,*,*,锥体
准噶尔,NR,LOC,*,准噶尔
准格尔,NR,LOC,*,准格尔
卓玛,NR,PER,FOR,卓玛
卓尼乡,NR,LOC,*,卓尼乡
卓森,NR,PER,GIV,卓森
卓元,NR,PER,GIV,卓元
卓着,VA,*,*,卓着
灼强,NR,PER,GIV,灼强
滋补,VV,*,*,滋补
紫阳,NR,PER,GIV,紫阳
子,NR,PER,GIV,子
子才,NR,PER,GIV,子才
子迪,NR,PER,GIV,子迪
子华,NR,PER,GIV,子华
子昆,NR,PER,GIV,子昆
子流,NR,PER,GIV,子流
子民,NR,PER,GIV,子民
子明,NR,PER,GIV,子明
子温,NR,PER,GIV,子温
子文,NR,PER,GIV,子文
子牙,NR,PER,GIV,子牙
子葭,NR,PER,GIV,子葭
自成,NR,PER,GIV,自成
自强,NR,PER,GIV,自强
自远,NR,PER,GIV,自远
自珍,NR,PER,GIV,自珍
踪,NN,*,*,踪
踪影,NN,*,*,踪影
宗欢,NR,PER,GIV,宗欢
宗琳,NR,PER,GIV,宗琳
宗仁,NR,PER,GIV,宗仁
宗荣,NR,PER,GIV,宗荣
宗森,NR,PER,FAM,宗森
宗棠,NR,PER,GIV,宗棠
宗鼐,NR,PER,GIV,宗鼐
祖,NR,PER,GIV,祖
祖芬,NR,PER,GIV,祖芬
祖根,NR,PER,GIV,祖根
祖亮,NR,PER,GIV,祖亮
祖卢族,NN,*,*,祖卢族
祖尼,NR,OTH,*,祖尼
祖强,NR,PER,GIV,祖强
祖松,NR,PER,GIV,祖松
祖文,NR,PER,GIV,祖文
